Date,Open,High,Low,Close,Adj Close,Volume
2023-05-14,144.699997,144.699997,144.699997,144.699997,144.699997,0
2023-05-15,144.750000,144.750000,144.750000,144.750000,144.750000,0
2023-05-16,144.869995,144.869995,144.869995,144.869995,144.869995,0
2023-05-17,145.020004,145.020004,145.020004,145.020004,145.020004,0
2023-05-18,145.100006,145.100006,145.100006,145.100006,145.100006,0
2023-05-19,145.210007,145.210007,145.210007,145.210007,145.210007,0
2023-05-20,145.380005,145.380005,145.380005,145.380005,145.380005,0
2023-05-21,145.520004,145.520004,145.520004,145.520004,145.520004,0
2023-05-22,145.589996,145.589996,145.589996,145.589996,145.589996,0
2023-05-23,145.460007,145.460007,145.460007,145.460007,145.460007,0
2023-05-24,145.490005,145.490005,145.490005,145.490005,145.490005,0
2023-05-25,146.130005,146.130005,146.130005,146.130005,146.130005,0
2023-05-26,146.460007,146.460007,146.460007,146.460007,146.460007,0
2023-05-27,146.250000,146.250000,146.250000,146.250000,146.250000,0
2023-05-28,146.110001,146.110001,146.110001,146.110001,146.110001,0
2023-05-29,146.009995,146.009995,146.009995,146.009995,146.009995,0
2023-05-30,145.970001,145.970001,145.970001,145.970001,145.970001,0
2023-05-31,146.460007,146.460007,146.460007,146.460007,146.460007,0
2023-06-01,146.910004,146.910004,146.910004,146.910004,146.910004,0
2023-06-02,146.919998,146.919998,146.919998,146.919998,146.919998,0
2023-06-03,147.039993,147.039993,147.039993,147.039993,147.039993,0
2023-06-04,147.139999,147.139999,147.139999,147.139999,147.139999,0
2023-06-05,147.229996,147.229996,147.229996,147.229996,147.229996,0
2023-06-06,147.350006,147.350006,147.350006,147.350006,147.350006,0
2023-06-07,147.520004,147.520004,147.520004,147.520004,147.520004,0
2023-06-08,147.449997,147.449997,147.449997,147.449997,147.449997,0
2023-06-09,147.440002,147.440002,147.440002,147.440002,147.440002,0
2023-06-10,147.619995,147.619995,147.619995,147.619995,147.619995,0
2023-06-11,147.720001,147.720001,147.720001,147.720001,147.720001,0
2023-06-12,147.690002,147.690002,147.690002,147.690002,147.690002,0
2023-06-13,147.669998,147.669998,147.669998,147.669998,147.669998,0
2023-06-14,147.710007,147.710007,147.710007,147.710007,147.710007,0
2023-06-15,147.610001,147.610001,147.610001,147.610001,147.610001,0
2023-06-16,147.470001,147.470001,147.470001,147.470001,147.470001,0
2023-06-17,147.539993,147.539993,147.539993,147.539993,147.539993,0
2023-06-18,147.809998,147.809998,147.809998,147.809998,147.809998,0
2023-06-19,147.910004,147.910004,147.910004,147.910004,147.910004,0
2023-06-20,147.419998,147.419998,147.419998,147.419998,147.419998,0
2023-06-21,147.020004,147.020004,147.020004,147.020004,147.020004,0
2023-06-22,146.990005,146.990005,146.990005,146.990005,146.990005,0
2023-06-23,146.830002,146.830002,146.830002,146.830002,146.830002,0
2023-06-24,146.809998,146.809998,146.809998,146.809998,146.809998,0
2023-06-25,146.830002,146.830002,146.830002,146.830002,146.830002,0
2023-06-26,146.750000,146.750000,146.750000,146.750000,146.750000,0
2023-06-27,146.800003,146.800003,146.800003,146.800003,146.800003,0
2023-06-28,146.820007,146.820007,146.820007,146.820007,146.820007,0
2023-06-29,146.740005,146.740005,146.740005,146.740005,146.740005,0
2023-06-30,146.750000,146.750000,146.750000,146.750000,146.750000,0
2023-07-01,146.789993,146.789993,146.789993,146.789993,146.789993,0
2023-07-02,146.630005,146.630005,146.630005,146.630005,146.630005,0
2023-07-03,146.460007,146.460007,146.460007,146.460007,146.460007,0
2023-07-04,146.529999,146.529999,146.529999,146.529999,146.529999,0
2023-07-05,146.529999,146.529999,146.529999,146.529999,146.529999,0
2023-07-06,146.520004,146.520004,146.520004,146.520004,146.520004,0
2023-07-07,146.399994,146.399994,146.399994,146.399994,146.399994,0
2023-07-08,146.360001,146.360001,146.360001,146.360001,146.360001,0
2023-07-09,146.440002,146.440002,146.440002,146.440002,146.440002,0
2023-07-10,146.279999,146.279999,146.279999,146.279999,146.279999,0
2023-07-11,146.050003,146.050003,146.050003,146.050003,146.050003,0
2023-07-12,146.139999,146.139999,146.139999,146.139999,146.139999,0
2023-07-13,146.199997,146.199997,146.199997,146.199997,146.199997,0
2023-07-14,146.050003,146.050003,146.050003,146.050003,146.050003,0
2023-07-15,145.919998,145.919998,145.919998,145.919998,145.919998,0
2023-07-16,145.839996,145.839996,145.839996,145.839996,145.839996,0
2023-07-17,145.830002,145.830002,145.830002,145.830002,145.830002,0
2023-07-18,145.750000,145.750000,145.750000,145.750000,145.750000,0
2023-07-19,145.699997,145.699997,145.699997,145.699997,145.699997,0
2023-07-20,146.229996,146.229996,146.229996,146.229996,146.229996,0
2023-07-21,146.750000,146.750000,146.750000,146.750000,146.750000,0
2023-07-22,146.649994,146.649994,146.649994,146.649994,146.649994,0
2023-07-23,146.740005,146.740005,146.740005,146.740005,146.740005,0
2023-07-24,146.910004,146.910004,146.910004,146.910004,146.910004,0
2023-07-25,146.789993,146.789993,146.789993,146.789993,146.789993,0
2023-07-26,146.699997,146.699997,146.699997,146.699997,146.699997,0
2023-07-27,146.610001,146.610001,146.610001,146.610001,146.610001,0
2023-07-28,146.449997,146.449997,146.449997,146.449997,146.449997,0
2023-07-29,146.440002,146.440002,146.440002,146.440002,146.440002,0
2023-07-30,146.419998,146.419998,146.419998,146.419998,146.419998,0
2023-07-31,146.330002,146.330002,146.330002,146.330002,146.330002,0
2023-08-01,146.259995,146.259995,146.259995,146.259995,146.259995,0
2023-08-02,146.199997,146.199997,146.199997,146.199997,146.199997,0
2023-08-03,146.149994,146.149994,146.149994,146.149994,146.149994,0
2023-08-04,146.100006,146.100006,146.100006,146.100006,146.100006,0
2023-08-05,146.210007,146.210007,146.210007,146.210007,146.210007,0
2023-08-06,146.470001,146.470001,146.470001,146.470001,146.470001,0
2023-08-07,146.009995,146.009995,146.009995,146.009995,146.009995,0
2023-08-08,145.419998,145.419998,145.419998,145.419998,145.419998,0
2023-08-09,145.339996,145.339996,145.339996,145.339996,145.339996,0
2023-08-10,145.309998,145.309998,145.309998,145.309998,145.309998,0
2023-08-11,145.229996,145.229996,145.229996,145.229996,145.229996,0
2023-08-12,145.289993,145.289993,145.289993,145.289993,145.289993,0
2023-08-13,145.500000,145.500000,145.500000,145.500000,145.500000,0
2023-08-14,145.539993,145.539993,145.539993,145.539993,145.539993,0
2023-08-15,145.479996,145.479996,145.479996,145.479996,145.479996,0
2023-08-16,145.399994,145.399994,145.399994,145.399994,145.399994,0
2023-08-17,145.460007,145.460007,145.460007,145.460007,145.460007,0
2023-08-18,145.470001,145.470001,145.470001,145.470001,145.470001,0
2023-08-19,145.330002,145.330002,145.330002,145.330002,145.330002,0
2023-08-20,145.270004,145.270004,145.270004,145.270004,145.270004,0
2023-08-21,145.130005,145.130005,145.130005,145.130005,145.130005,0
2023-08-22,144.929993,144.929993,144.929993,144.929993,144.929993,0
2023-08-23,144.839996,144.839996,144.839996,144.839996,144.839996,0
2023-08-24,144.779999,144.779999,144.779999,144.779999,144.779999,0
2023-08-25,144.660004,144.660004,144.660004,144.660004,144.660004,0
2023-08-26,144.529999,144.529999,144.529999,144.529999,144.529999,0
2023-08-27,144.490005,144.490005,144.490005,144.490005,144.490005,0
2023-08-28,144.429993,144.429993,144.429993,144.429993,144.429993,0
2023-08-29,144.360001,144.360001,144.360001,144.360001,144.360001,0
2023-08-30,144.330002,144.330002,144.330002,144.330002,144.330002,0
2023-08-31,144.360001,144.360001,144.360001,144.360001,144.360001,0
2023-09-01,144.330002,144.330002,144.330002,144.330002,144.330002,1128
2023-09-02,145.050003,145.050003,145.050003,145.050003,145.050003,1117
