Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,47.990002,48.195000,44.619999,46.110001,46.110001,4798280
2023-03-14,45.825001,46.980000,45.029999,46.235001,46.235001,4144304
2023-03-15,46.235001,46.605000,44.134998,44.134998,44.134998,3376466
2023-03-16,45.000000,46.555000,44.165001,46.125000,46.125000,3886015
2023-03-17,46.500000,47.759998,44.165001,44.555000,44.555000,5388555
2023-03-20,44.200001,44.494999,42.889999,43.660000,43.660000,3412457
2023-03-21,44.299999,44.799999,43.970001,44.070000,44.070000,2496093
2023-03-22,44.200001,44.375000,43.535000,43.654999,43.654999,1780134
2023-03-23,43.404999,43.875000,41.965000,42.244999,42.244999,3641375
2023-03-24,41.950001,41.974998,40.445000,41.340000,41.340000,4281328
2023-03-27,42.529999,43.605000,41.599998,42.700001,42.700001,2334081
2023-03-28,43.244999,43.570000,42.119999,42.580002,42.580002,1292746
2023-03-29,43.000000,43.000000,41.865002,42.724998,42.724998,2125473
2023-03-30,43.084999,44.485001,43.049999,44.369999,44.369999,2908151
2023-03-31,44.375000,45.314999,44.009998,45.195000,45.195000,2511901
2023-04-03,45.200001,46.000000,44.799999,44.919998,44.919998,2268713
2023-04-04,45.080002,45.930000,44.220001,44.360001,44.360001,2147163
2023-04-05,44.360001,44.430000,40.970001,41.369999,41.369999,4248083
2023-04-06,40.200001,41.240002,39.840000,40.610001,40.610001,2931750
2023-04-11,41.380001,42.980000,41.380001,42.820000,42.820000,3226771
2023-04-12,43.110001,44.570000,42.410000,42.610001,42.610001,3491714
2023-04-13,42.630001,43.070000,41.849998,42.020000,42.020000,1961970
2023-04-14,42.599998,44.070000,42.419998,43.810001,43.810001,2865164
2023-04-17,43.990002,44.340000,42.209999,42.259998,42.259998,3091255
2023-04-18,42.299999,42.669998,41.939999,42.099998,42.099998,2461649
2023-04-19,41.900002,41.900002,41.130001,41.709999,41.709999,2112901
2023-04-20,41.580002,41.580002,38.730000,38.820000,38.820000,5667348
2023-04-21,38.959999,39.480000,37.790001,38.610001,38.610001,3536950
2023-04-24,38.700001,40.160000,38.700001,39.470001,39.470001,2696510
2023-04-25,39.389999,40.520000,38.669998,39.459999,39.459999,3007934
2023-04-26,39.459999,39.509998,38.700001,39.060001,39.060001,2561633
2023-04-27,41.799999,42.400002,38.810001,39.790001,39.790001,6442246
2023-04-28,40.200001,42.450001,39.689999,42.160000,42.160000,6612808
2023-05-02,42.160000,42.580002,40.430000,40.430000,40.430000,3604540
2023-05-03,40.290001,40.889999,38.720001,38.720001,38.720001,3951496
2023-05-04,38.720001,39.279999,36.630001,37.250000,37.250000,6789739
2023-05-05,37.380001,38.700001,37.049999,38.529999,38.529999,3227289
2023-05-08,38.820000,39.070000,38.389999,38.970001,38.970001,1735140
2023-05-09,39.529999,39.560001,38.820000,39.200001,39.200001,3031864
2023-05-10,39.369999,39.810001,38.500000,39.099998,39.099998,2408023
2023-05-11,39.160000,39.849998,36.270000,37.500000,37.500000,6564383
2023-05-12,37.990002,38.250000,37.020000,37.259998,37.259998,2400693
2023-05-15,36.189999,37.799999,36.189999,37.680000,37.680000,3271915
2023-05-16,37.340000,37.500000,36.470001,36.770000,36.770000,2901298
2023-05-17,36.470001,37.180000,36.299999,36.439999,36.439999,953021
2023-05-19,37.599998,39.650002,37.270000,38.770000,38.770000,4776620
2023-05-22,38.480000,38.650002,37.900002,38.500000,38.500000,1607001
2023-05-23,38.299999,39.560001,38.299999,39.310001,39.310001,1446653
2023-05-24,38.770000,38.860001,37.330002,37.529999,37.529999,2879664
2023-05-25,37.430000,38.029999,36.880001,36.959999,36.959999,2417724
2023-05-26,37.299999,38.080002,36.939999,37.860001,37.860001,1628538
2023-05-29,38.700001,38.939999,37.360001,37.599998,37.599998,1239652
2023-05-30,37.700001,38.459999,37.630001,37.830002,37.830002,1776320
2023-05-31,37.230000,38.150002,36.900002,37.279999,37.279999,5045971
2023-06-01,37.500000,38.029999,37.349998,37.790001,37.790001,1537488
2023-06-02,38.299999,40.290001,38.060001,40.160000,40.160000,2783445
2023-06-05,40.299999,43.020000,39.959999,42.919998,42.919998,4956949
2023-06-07,42.919998,45.180000,42.500000,44.930000,44.930000,4884960
2023-06-08,44.360001,45.450001,42.189999,42.709999,42.709999,4304320
2023-06-09,42.529999,42.849998,41.770000,42.250000,42.250000,2015610
2023-06-12,42.500000,42.970001,41.939999,42.799999,42.799999,1378191
2023-06-13,43.500000,43.700001,42.400002,42.740002,42.740002,1523752
2023-06-14,42.970001,44.869999,42.950001,44.660000,44.660000,3175663
2023-06-15,44.070000,44.349998,43.419998,43.730000,43.730000,1890835
2023-06-16,44.090000,45.020000,43.889999,45.000000,45.000000,6014385
2023-06-19,44.520000,44.740002,43.750000,44.560001,44.560001,2111385
2023-06-20,44.200001,44.610001,43.180000,43.389999,43.389999,2821547
2023-06-21,43.389999,43.959999,42.619999,42.720001,42.720001,1357021
2023-06-22,42.599998,43.060001,41.939999,42.680000,42.680000,1356265
2023-06-26,42.000000,42.500000,41.049999,41.790001,41.790001,2380837
2023-06-27,41.680000,41.689999,39.150002,40.410000,40.410000,3215074
2023-06-28,40.799999,42.389999,40.700001,42.130001,42.130001,2767462
2023-06-29,42.330002,43.669998,42.279999,42.759998,42.759998,1956870
2023-06-30,43.000000,43.389999,42.459999,42.820000,42.820000,1872477
2023-07-03,43.599998,44.490002,42.900002,44.209999,44.209999,1824726
2023-07-04,44.480000,45.740002,44.130001,44.680000,44.680000,1968384
2023-07-05,44.130001,45.930000,44.099998,44.849998,44.849998,2328837
2023-07-06,44.369999,44.619999,43.580002,44.389999,44.389999,3839218
2023-07-07,44.639999,45.389999,43.500000,45.320000,45.320000,1945353
2023-07-10,45.060001,45.410000,44.209999,45.130001,45.130001,1433990
2023-07-11,45.439999,45.750000,44.349998,45.660000,45.660000,1678382
2023-07-12,45.779999,47.639999,45.360001,46.990002,46.990002,2541024
2023-07-13,46.990002,47.250000,45.900002,46.580002,46.580002,1670660
2023-07-14,46.439999,47.630001,45.900002,47.580002,47.580002,2312223
2023-07-17,47.000000,47.840000,46.610001,47.840000,47.840000,3382509
2023-07-18,47.860001,49.840000,47.580002,49.840000,49.840000,2812628
2023-07-19,49.970001,50.220001,48.160000,50.220001,50.220001,3679387
2023-07-20,48.900002,49.990002,46.500000,48.090000,48.090000,4649877
2023-07-21,49.799999,52.119999,49.099998,51.040001,51.040001,4941503
2023-07-24,51.340000,53.000000,51.139999,53.000000,53.000000,3828411
2023-07-25,53.200001,53.480000,51.119999,51.340000,51.340000,1892856
2023-07-26,51.000000,51.599998,49.779999,50.700001,50.700001,1651680
2023-07-27,51.340000,52.400002,51.040001,52.320000,52.320000,2114234
2023-07-28,52.020000,52.599998,50.700001,52.139999,52.139999,1387879
2023-07-31,52.000000,52.419998,51.520000,52.000000,52.000000,1052793
2023-08-01,51.799999,51.799999,49.889999,50.799999,50.799999,1954314
2023-08-02,50.200001,51.299999,49.740002,50.619999,50.619999,1449884
2023-08-03,50.080002,51.500000,49.009998,49.639999,49.639999,2585138
2023-08-04,49.910000,50.419998,49.480000,49.970001,49.970001,920511
2023-08-07,49.650002,50.180000,49.009998,49.360001,49.360001,1577259
2023-08-08,49.029999,49.880001,48.650002,48.880001,48.880001,1366339
2023-08-09,49.029999,49.919998,49.009998,49.119999,49.119999,1126284
2023-08-10,49.389999,50.520000,49.299999,49.500000,49.500000,1160072
2023-08-11,49.119999,49.240002,48.570000,48.580002,48.580002,950707
2023-08-14,48.000000,48.439999,47.320000,47.590000,47.590000,1394020
2023-08-15,47.590000,48.540001,47.509998,48.169998,48.169998,1677097
2023-08-16,47.700001,48.119999,47.529999,47.759998,47.759998,1351218
2023-08-17,47.349998,47.590000,45.799999,45.910000,45.910000,1912411
2023-08-18,45.459999,45.790001,43.540001,44.959999,44.959999,2560301
2023-08-21,44.750000,44.959999,44.310001,44.459999,44.459999,983504
2023-08-22,44.730000,45.020000,44.549999,44.700001,44.700001,1089520
2023-08-23,44.700001,44.730000,43.529999,43.869999,43.869999,1226715
2023-08-24,44.290001,44.860001,43.090000,43.180000,43.180000,1002522
2023-08-25,43.160000,43.540001,42.820000,42.959999,42.959999,1110524
2023-08-28,43.349998,43.660000,42.410000,42.740002,42.740002,1651628
2023-08-29,42.740002,43.230000,41.970001,42.259998,42.259998,2226154
2023-08-30,42.259998,42.470001,41.820000,42.009998,42.009998,1777992
2023-08-31,42.009998,42.889999,41.439999,41.720001,41.720001,3713270
2023-09-01,41.299999,41.299999,39.849998,40.500000,40.500000,3531039
